count,code,Manufacture,Model,Found,Gld,Engine-type,,Launch-Type,Blue Line,Max w/extented,Max extension,Min extension,Min Ext Alt,Alt loss,Method,cooldown,LD extended,Start time,Descent rate
15,05610QZ,AVIA STROITEL,AC-5M,Y,1,7,2-Cycle,Self-Launch,,,,,,,,,,,
,,,Antares 20E,Y,,,,Self-Launch,,,65,,,,,,,,
2,3802662,AMS-FLIGHT DOO,APIS MC,Y,1,7,2-Cycle,Self-Launch,,,,,,,,,,,
15,3801963,SCHEMPP HIRTH FLUGZEUGBAU GMBH,ARCUS M,Y,1,1,Reciprocating,Self-Launch,51,81,65,49,984,164,Sawthooth,1 min,13:1,45 sec,443
,,SCHEMPP HIRTH FLUGZEUGBAU GMBH,ARCUS T,Y,1,1,Reciprocating,Turbo,51,97,59,49,,130,Sawthooth,,19:1,,300
5,3801560,ALEXANDER SCHLEICHER GMBH & CO,AS 33ES,Y,1,7,2-Cycle,Turbo,51,76,76,45,1300,170,Sawthooth,,,,
14,3801552,ALEXANDER SCHLEICHER GMBH & CO,ASG 32 MI,Y,1,11,Rotary,Self-Launch,49,97,64,51,980,164-820,Sawthooth,60-120,,,
4,3801544,ALEXANDER SCHLEICHER GMBH & CO,ASH 26 E,Y,2,1,Reciprocating,Self-Launch,51,99,65,49,984,,Sawthooth,2 min,,,
39,3801549,ALEXANDER SCHLEICHER GMBH & CO,ASH 31 MI,Y,1,11,Rotary,Self-Launch,52,97,65,51,980,150-800,Sawthooth,auto,,,
2,38015EZ,SCHLEICHER,ASH25M,Y,1,1,Reciprocating,Self-Launch,,86,86,,,,,,,,
12,3801541,ALEXANDER SCHLEICHER GMBH & CO,ASW 27-18 E (ASG-29E),Y,1,7,2-Cycle,Turbo,51,76,76,45,1300,50-170,Sawthooth,30-40,,15 sec,
3,3801515,SCHLEICHER,ASW-24E,Y,1,1,Reciprocating,Turbo,,,,,,,,,,,
,,,Carat,Y,,,Reciprocating,Self-Launch,,,,,,,,,,,
2,056293Z,DG-FLUGZEUGBAU GMBH,DG-1000M,Y,1,1,Reciprocating,Self-Launch,,,,,,,,,,,
23,3805015,DG FLUGZEUGBAU GMBH,DG-800B,Y,1,1,Reciprocating,Self-Launch,49,,54,,1320,70,Sawthooth,30 sec,15:1,,395
8,3802561,DG-FLUGZEUGBAU GMBH,DG-808 C,Y,1,1,Reciprocating,Self-Launch,,,,,,,,,,,
1,3801912,SCHEMPP-HIRTHE,DISCUS 2T,Y,1,7,2-Cycle,Turbo,,,,,,,,,,,
4,3802011,SCHEMPP-HIRTH,DISCUS-2CT,Y,1,7,2-Cycle,Turbo,,97,65,49,,,Sawthooth,,,,
6,3801905,SCHEMPP-HIRTH FLUGZEUGBAU GMBH,DUO DISCUS T,Y,1,7,2-Cycle,Turbo,,86,59,49,,,,,,,
1,1440310,BINDER MOTORENBAU GMBH,EB29,Y,1,8,4-Cycle,Self-Launch,,,,,,,,,,,
2,1440311,BINDER MOTORENBAU GMBH,EB29R,Y,1,8,4-Cycle,Self-Launch,,,,,,,,,,,
4,05635OG,HPH SPOL SRO,GLASFLUGEL 304 MS,Y,1,7,2-Cycle,Self-Launch,,,,,,,,,,,
7,05638VE,JONKER SAILPLANES (PTY) LTD,JS3,Y,1,4,Turbo-jet,Self-Launch,73,135,76,,,,Sawthooth,auto,,40 sec,
2,05621MO,SPORTINE AVIACIJA JSC,LAK-17AT,Y,1,1,Reciprocating,Turbo,,,,,,,,,,,
7,05637VC,SPORTINE AVIACIJA IR KO,LAK-17B FES MINI,Y,1,10,Electric,Self-Launch,,,,,,,,,,,
1,05629GL,DG FLUGZEUGBAU GMBH,LS 10-ST,Y,1,7,2-Cycle,Turbo,,,,,,,,,,,
1,3801952,SCHEMPP-HIRTH,NIMBUS-3DM,Y,1,1,Reciprocating,Self-Launch,,,,,,,,,,,
1,8270308,SIREN,PIK 20E,Y,3,1,Reciprocating,Self-Launch,54,105,73,,1000,200,,,,,
15,05632RZ,ALISPORT SRL,SILENT 2 ELECTRO,Y,1,10,Electric,Self-Launch,,,,,,,,,,,
5,05614KH,ALISPORT SRL,SILENT-IN,Y,1,1,Reciprocating,Self-Launch,,,,,,,,,,,
,,STEMME AG,STEMME S-10 VT,Y,,,Reciprocating,Self-Launch,,,,,,,,,,,
,,Pippestrel,Taurus,Y,,,Reciprocating,Self-Launch,,,,,,,,,,,
11,3802001,SCHEMPP-HIRTH,VENTUS 2CM,Y,1,1,Reciprocating,Self-Launch,54,97,65,50,984,131-164,Sawthooth,60 sec,13:1,35-40 sec,
9,3801959,SCHEMPP-HIRTH FLUGZEUGBAU GMBH,VENTUS 3F,Y,1,10,Electric,Turbo,51,86,57,,,0,Cruise,n/a,n/a,1,
2,3802058,SCHEMPP HIRTH FLUGZEUGBAU GMBH,VENTUS 3T,Y,1,7,2-Cycle,Turbo,54,81,65,50,984,197,Sawthooth,n/a,18:1,,
1,3802066,SCHEMPP-HIRTH,VENTUS CT,Y,1,1,Reciprocating,Turbo,51,81,97,49,984,,Sawthooth,,22:1,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,05901BY,NODORFT ALLEN,AC-5M,,1,7,2-Cycle,Self-Launch,,,,,,,,,,,
1,05641MX,AVIA STROITEL,AC-5M,,1,10,Electric,Self-Launch,,,,,,,,,,,
25,160001,AEROMOT,AMT-200S,,1,8,4-Cycle,,,,,,,,,,,,
1,3801990,SCHEMPP-HIRTH GMBH,ARCUS,,1,4,Turbo-jet,Self-Launch,,,,,,,,,,,
1,3801531,ALEXANDER SCHLEICHER GMBH & CO,AS 34 ME,,1,7,2-Cycle,Self-Launch,,,,,,,,,,,
1,05641EO,ALBASTAR D O O,AS-15E,,1,10,Electric,,,,,,,,,,,,
1,3801556,ALEXANDER SCHLEICHER GMBH & CO,ASH 30 MI,,1,11,Rotary,Self-Launch,,,,,,,,,,,
1,05637SC,PAULO HENRIQUES ISCOLD ANDRADE,ASH30 NIXUS,,1,11,Rotary,Self-Launch,,,,,,,,,,,
3,3801557,ALEXANDER SCHLEICHER GMBH & CO,ASK 21 MI,,1,11,Rotary,Self-Launch,,,,,,,,,,,
1,3801521,SCHLEICHER,ASW-22BLE,,1,1,Reciprocating,Self-Launch,,,,,,,,,,,
2,3802571,DG-FLUGZEUGBAU GMBH,DG-1000T,,1,7,2-Cycle,Turbo,,,,,,,,,,,
23,3802510,GLASER-DIRKS,DG-400,,1,7,2-Cycle,Self-Launch,,,,,,,,,,,
3,3802550,GLASER-DIRKS,DG-400M/17,,1,1,Reciprocating,Self-Launch,,,,,,,,,,,
5,3802552,GLASER-DIRKS,DG-500M,,1,1,Reciprocating,Self-Launch,,,,,,,,,,,
2,3802554,DG-FLUGZEUGBAU GMBH,DG-500MB,,1,7,2-Cycle,,,,,,,,,,,,
3,3805011,GLASER DIRKS,DG-800A,,1,7,2-Cycle,,,,,,,,,,,,
4,3802005,SCHEMPP HIRTH FLUGZEUGBAU GMBH,DISCUS-2C FES,,1,10,Electric,Turbo,,,,,,,,,,,
1,056306S,WINDWARD PERFORMANCE LTD,DUCK HAWK E,,1,10,Electric,,,,,,,,,,,,
1,05641RW,HPH SPOL S R O,GLASFLUGEL 304S JET,,1,4,Turbo-jet,Self-Launch,,,,,,,,,,,
5,05606TJ,DIAMOND AIRCRAFT IND GMBH,HK 36 TC,,1,1,Reciprocating,Turbo,,,,,,,,,,,
1,2990005,DIAMOND AIRCRAFT IND GMBH,HK 36 TC-100,,1,8,4-Cycle,,,,,,,,,,,,
10,05605ML,DIAMOND AIRCRAFT INDUSTRIES,HK 36 TTC,,1,1,Reciprocating,,,,,,,,,,,,
3,2990006,DIAMOND AIRCRAFT IND GMBH,HK 36 TTC,,1,8,4-Cycle,,,,,,,,,,,,
1,3802067,SCHEMPP-HIRTH,JANUS CT,,1,7,2-Cycle,Turbo,,,,,,,,,,,
3,05641KC,JONKER SAILPLANES (PTY) LTD,JS3 RES,,1,10,Electric,Turbo,59,81,81,,,,,,,16,
1,3801969,SCHEMPP HIRTH FLUGZEUGBAU GMBH,NIMBUS 4DT,,1,1,Reciprocating,Turbo,,,,,,,,,,,
1,3801967,SCHEMPP-HIRTH,NIMBUS-4M,,1,7,2-Cycle,Self-Launch,,,,,,,,,,,
33,1130872,STEMME GMBH & CO,S10-VT,,1,8,4-Cycle,Self-Launch,,,,,,,,,,,
2,05617MP,ALISPORT SRL,SILENT 2,,1,1,Reciprocating,Self-Launch,,,,,,,,,,,
1,059020S,ALISPORT SRL,SILENT 2,,1,7,2-Cycle,,,,,,,,,,,,
2,05622Q1,ALISPORT SRL,SILENT 2 TARGA,,1,1,Reciprocating,,,,,,,,,,,,
26,05635TS,STEMME AG,STEMME S 12,,1,8,4-Cycle,Self-Launch,,,,,,,,,,,
7,8822002,PDPS PZL-BIELSKO,SZD-45A OGAR,,1,1,Reciprocating,,,,,,,,,,,,
2,8821658,AVIONIC SP JAWNA B KAWIK-L MAT,SZD-56-3 DIANA-2 FES,,1,10,Electric,Turbo,,,,,,,,,,,
6,3800267,SCHEMPP-HIRTH,VENTUS 2CT,,1,7,2-Cycle,Turbo,,,,,,,,,,,
1,3801911,SCHEMPP HIRTH,VENTUS 2CX,,1,10,Electric,,,,,,,,,,,,
1,3801909,SCHEMPP HIRTH FLUGZEUG VERTRIE,VENTUS 2CXM,,1,7,2-Cycle,Self-Launch,,,,,,,,,,,
7,3801962,SCHEMPP-HIRTH FLUGZEUGBAU GMBH,VENTUS 3M,,1,7,2-Cycle,Self-Launch,,,,,,,,,,,
1,380205A,SCHEMPP-HIRTH,VENTUS BT,,1,7,2-Cycle,Turbo,,,,,,,,,,,
4,3800266,SCHEMPP-HIRTH,VENTUS CM,,1,1,Reciprocating,Self-Launch,,,,,,,,,,,
,,,Twinshark,,,,,Self-Launch,,,,,,,,,,,
,,,N808EE,,,,,Self-Launch,,,,,,,,,,,