,File,Model,All_Min_TAS_knots,All_Max_TAS_knots,All_Avg_TAS_knots,All_Post_Run_Min_TAS_knots,All_Post_Run_Max_TAS_knots,All_Post_Run_Avg_TAS_knots,Circling_Segment_Found,Min_Speed_While_Engine_Running_knots,Max_Speed_While_Engine_Running_knots,Avg_Speed_While_Engine_Running_knots
0,2018-08-18-CNI-232-01.IGC,ASH 31 MI,"49.4,56.9","91.8,80.4","64.4,66.4","53.8,51.0","83.0,78.8","68.5,63.5",True,,,
1,2017-03-15-CNI-22G-01.IGC,ASH 30 MI,"53.7,57.9,60.7","67.4,66.9,71.0","61.1,61.7,65.0","52.9,60.4,56.9","67.8,70.4,69.8","62.1,64.2,63.4",True,,,
2,06CC4A41.IGC,Antares 20E,"53.7,69.1,78.2,56.5,74.5,65.6,67.8,59.7,72.2,45.4","72.3,73.0,81.2,63.0,82.2,68.9,70.4,81.5,75.9,74.8","64.9,70.5,80.1,60.2,78.7,67.1,68.2,73.8,74.1,67.9","56.7,66.4,55.6,55.6,53.5,54.1,59.4,54.9,61.9","66.1,82.6,82.9,82.2,71.1,72.6,81.4,81.1,93.7","60.7,73.9,70.6,68.0,63.1,66.2,64.5,75.4,75.1",False,,,
3,2021-04-18-CNI-21D-01.IGC,DG-808 C,"46.6,48.8","60.6,56.6","52.6,52.7","46.2,47.2","61.2,70.7","54.8,59.1",True,,,
4,2016-03-16-CNI-22G-01.IGC,ASH 30 MI,"47.6,51.7","68.3,76.0","57.6,60.8","45.8,46.6","71.6,94.8","60.7,75.7",True,,,
5,04NC4A41.IGC,Antares 20E,55.0,73.2,64.1,"47.8,60.8","89.4,92.0","68.0,71.3",True,,,
6,04LC4A41.IGC,Antares 20E,"76.9,49.2","89.2,79.8","84.6,66.6",52.0,86.8,70.6,True,,,
7,2017-03-17-CNI-22G-01.IGC,ASH 30 MI,"55.1,58.4,57.4,55.9","72.1,71.2,65.6,67.4","62.7,64.9,61.7,60.8","54.4,57.0,48.8,56.5","78.0,71.3,67.4,77.0","63.7,62.0,59.3,70.9",True,,,
8,2015-06-06-CNI-V8R-01.IGC,DG-400,"45.7,45.0","50.1,75.9","47.4,52.5","46.0,47.6","61.5,67.0","54.2,62.3",False,"30.24,43.20","50.76,68.03","45.38,52.29"
9,2021-06-15-LXV-780-01.IGC,ASH 31 MI,"48.5,47.1","65.2,73.5","55.6,66.4","50.0,47.3","68.1,76.6","60.0,61.0",True,"54.62,42.84","88.86,82.37","71.63,63.34"
10,2018-03-13-NKL-0TK-01.IGC,ASH25M,"48.6,47.2","60.5,53.0","54.5,49.3","46.8,48.0","57.3,61.0","51.3,55.6",False,,,
11,2024-06-24-CNI-27D-01.IGC,ASH 31 MI,"45.5,75.5","89.1,93.3","73.4,80.7","45.0,75.5","93.6,94.4","69.9,87.7",True,,,
12,2014-08-04-NKL-10X-01.IGC,ARCUS M,"62.2,52.1,56.8","94.8,89.4,91.4","78.8,69.5,72.9","45.0,46.6,61.7","92.8,94.4,94.5","62.1,67.8,78.3",True,,,
13,2018-06-17-CNI-20B-01.IGC,ARCUS M,"45.6,45.7","87.4,81.7","60.0,60.3","45.7,49.4","81.7,82.8","62.0,68.3",False,,,
14,2015-06-05-CNI-21D-01.IGC,DG-808 C,"52.7,72.3,54.7,80.3,57.1,54.7,86.1,53.0,53.6,53.6,62.8,51.9,55.5,53.5,56.1,56.6,54.0,68.5,69.1","89.9,92.9,57.5,89.9,86.9,93.2,90.8,78.5,80.6,78.0,78.8,92.0,91.6,60.5,93.1,86.5,73.7,94.9,94.3","65.6,84.6,56.5,84.2,71.8,75.3,88.5,67.0,64.3,64.5,69.9,69.7,75.2,56.2,74.2,72.8,59.3,86.1,85.6","48.5,48.5,50.4,54.5,52.2,49.7,49.7,48.4,46.7,53.0,49.5,50.9,52.6,52.6,68.2,49.9,49.9,80.3,49.5","93.5,93.4,89.9,87.9,93.2,93.5,93.5,66.3,78.0,78.8,66.0,83.1,82.2,93.1,86.5,84.5,84.5,93.8,66.7","70.9,67.9,77.3,70.0,74.1,79.0,68.1,57.0,64.9,64.2,55.5,66.9,60.7,71.2,79.9,63.4,68.5,87.7,59.8",False,,,
15,2015-05-16-CNI-214-01.IGC,Taurus,"45.5,80.4","90.9,90.1","71.5,84.7","45.7,45.4,48.1,48.3","79.9,77.9,78.0,82.1","67.0,58.5,66.9,71.7",True,,,
16,2019-10-11-LXV-2RN-01.IGC,ASH 26 E,"52.7,65.1","76.0,94.9","65.7,82.1","45.1,45.1","79.4,90.5","69.3,79.7",True,,,
17,2014-08-06-NKL-0TV-01.IGC,DG-808 C,"54.0,91.1","93.9,94.8","84.5,93.7",45.0,95.0,74.9,True,,,
18,2021-09-24-CNI-23Y-01.IGC,ASH 31 MI,"45.6,56.9","62.3,65.7","53.3,63.3","45.5,47.0","67.2,79.7","56.4,64.9",True,,,
19,2015-05-20-CNI-214-02.IGC,Taurus,"59.4,67.6","78.1,75.1","70.9,71.7","45.9,45.1","60.6,57.4","55.6,52.8",True,,,
20,23IGBCA1.IGC,ASH 26 E,"50.4,75.0","89.2,90.5","68.6,79.3","56.8,56.2","90.5,75.0","76.9,64.1",True,,,
21,2017-08-05-CNI-255-01.IGC,VENTUS 2CXM,"82.7,76.7","91.9,94.5","87.7,82.9","78.3,50.3","94.1,88.8","83.4,79.4",True,,,
22,2016-05-25-CNI-214-01.IGC,Taurus,"47.8,52.6,45.0","68.7,69.6,54.7","53.3,59.5,50.4","45.4,48.5,46.1","73.7,82.3,73.4","60.2,64.7,61.9",True,,,
23,183G8KM1.IGC,DG-400,"45.8,49.4","55.9,63.5","51.0,53.8","45.1,47.0","68.3,74.5","55.2,62.5",True,,,
24,2013-08-03-NKL-12K-01.IGC,DG-808 C,"45.7,46.0","56.2,59.2","50.7,50.8","45.2,48.7","71.4,80.8","59.0,58.0",False,,,
25,2017-03-16-CNI-22G-01.IGC,ASH 30 MI,"50.8,54.8,55.4","66.9,69.8,75.3","59.5,64.0,64.8","45.2,51.7,63.9","69.7,65.9,79.5","57.7,57.7,74.4",True,,,
26,14KGA531.IGC,ASH 31 MI,"46.9,48.1","94.1,93.2","77.0,65.4","48.1,45.7","90.8,92.6","72.8,62.9",True,,,
27,2015-10-16-CNI-214-01.IGC,Taurus,"62.3,66.6","92.0,90.0","74.3,74.8","46.2,66.3","76.5,89.1","65.5,77.6",True,,,
28,068C4A41.IGC,Antares 20E,"65.8,59.0,67.0,74.9,66.3,70.6,67.8,73.1,68.5,67.8,70.6,60.0","71.6,70.5,70.4,78.3,72.1,72.7,69.0,75.4,72.5,73.0,73.9,75.7","69.4,62.5,68.0,77.3,69.8,71.6,68.7,74.1,71.4,70.4,71.6,70.6","57.1,54.5,61.0,58.5,57.7,52.5,52.5,55.0,55.0,54.9,52.3","78.1,65.2,76.1,72.3,73.9,71.0,72.8,72.5,74.8,74.8,82.6","65.8,58.9,70.3,68.2,64.8,64.9,61.9,63.2,64.5,68.0,65.3",False,,,
29,2021-07-18-LXV-780-02.IGC,ASH 31 MI,"51.3,46.1","94.7,90.9","70.2,72.0","52.1,47.3","92.9,90.3","68.2,70.0",True,"59.53,45.02","89.02,87.93","72.80,75.24"
30,2013-08-02-NKL-12K-01.IGC,DG-808 C,"45.7,46.1,49.5","52.9,60.7,54.3","49.4,54.1,52.2","48.0,45.0,50.6","68.9,73.2,73.9","57.9,55.1,65.8",False,,,
31,2023-06-02-LXV-7SK-01.IGC,EB29,"45.0,62.4","68.4,65.1","54.4,63.1","46.1,45.4","87.4,87.4","61.1,58.6",True,"37.45,51.67","61.00,56.43","54.31,54.40"
32,2021-06-03-LXV-7SA-03.IGC,ASH 31 MI,"51.0,65.7","92.5,94.3","79.5,78.1","62.4,49.1","91.8,94.9","74.7,78.8",True,"61.58,61.78","89.23,87.59","71.57,72.17"
33,06BC4A41.IGC,Antares 20E,"66.4,61.6,72.5,59.3,58.8,46.6","72.1,71.5,76.0,66.3,70.2,71.5","69.6,64.8,74.8,63.5,67.1,64.9","56.1,54.5,57.0,67.6,57.3","72.3,76.1,75.7,75.7,77.7","65.6,60.7,66.6,72.8,67.2",False,,,
34,2021-06-14-CNI-236-01.IGC,ASG 32 MI,"45.1,58.1","89.8,75.8","62.2,64.0","48.2,46.1","93.3,79.8","68.9,66.6",True,,,
35,2021-06-16-LXV-780-01.IGC,ASH 31 MI,"45.5,54.0,51.0","87.9,67.9,63.9","63.3,60.5,57.7","45.6,62.3,46.9","88.6,80.0,68.9","72.1,71.5,60.6",True,"47.60,48.35,49.73","85.92,86.49,80.76","69.98,67.43,61.38"
36,2013-07-30-NKL-12K-01.IGC,DG-808 C,"46.2,57.0","59.7,61.8","55.4,59.2","53.7,51.4","67.9,64.1","59.9,59.4",False,,,
37,187G8KM1.IGC,DG-400,"45.1,45.0","65.7,76.1","55.9,57.2","45.0,45.3","65.0,82.5","56.6,64.9",False,,,
38,2021-06-16-FLA-8DI-01.IGC,DG-808 C,"57.9,58.6","76.2,80.8","66.5,68.6","45.6,45.5","89.8,92.9","68.3,70.2",True,,,
39,2018-03-09-CNI-27K-01.IGC,DG-808 C,"59.7,50.0,50.6","64.2,60.5,61.5","62.3,56.4,57.3","47.7,45.0,46.2","59.1,57.0,53.3","53.4,51.0,49.9",False,,,
40,067C4FL6.IGC,VENTUS CM,"60.8,49.0","89.1,61.2","69.5,54.3","45.4,54.4","69.8,80.8","58.2,70.0",True,,,
41,2021-06-05-LXV-ABC-01.IGC,ARCUS M,"45.2,49.7","67.4,60.0","54.2,53.8","45.0,45.2","70.6,61.6","59.3,52.4",True,"0.00,42.67","57.31,53.35","50.68,48.71"
42,2017-03-10-CNI-22G-01.IGC,ASH 30 MI,"50.1,52.0","76.1,78.0","64.1,58.6","47.9,45.9","70.9,65.9","61.1,62.1",True,,,
43,2019-04-25-LXV-2RN-01.IGC,ASH 26 E,"50.9,47.7,47.3","72.1,74.0,70.9","59.2,57.5,57.0","46.4,45.6,45.2","68.4,71.6,68.4","59.7,55.5,53.3",True,,,
44,2023-06-30-LXV-7EO-01.IGC,ASH 31 MI,"55.6,57.8","83.3,86.8","65.9,64.3","50.3,47.3","90.1,85.0","69.8,67.3",True,"48.97,50.69","85.84,83.34","62.63,67.81"
45,46IG8KM1.IGC,DG-400,51.3,71.0,61.3,"45.0,46.4","79.5,94.9","61.2,71.7",True,,,
46,2023-06-27-LXV-7EO-01.IGC,ASH 31 MI,"51.7,59.7","79.0,73.0","60.6,65.2","51.8,52.7","82.4,73.9","65.3,60.6",True,"49.46,51.43","87.95,81.91","63.99,67.12"
47,16FGHZY1.IGC,ARCUS M,"45.0,45.5,58.0","81.2,92.1,68.1","57.9,70.8,61.1","49.4,45.6,47.8","94.6,93.9,94.9","70.4,73.4,74.6",True,,,
48,44RG8KM1.IGC,DG-400,"45.0,45.1","60.1,70.5","50.9,56.7","45.6,45.6","76.1,71.0","59.5,64.7",True,,,
49,2015-03-17-NKL-0VP-02.IGC,Taurus,"54.4,58.8","67.5,74.9","60.3,63.9","46.4,45.7","66.0,65.5","53.3,55.7",False,,,
50,2015-10-15-CNI-214-01.IGC,Taurus,"46.8,71.8,66.8,66.5,45.1","76.6,82.3,81.2,81.6,53.7","69.3,76.3,70.8,73.1,49.6","45.6,45.7,45.6,60.3,45.4","73.0,81.7,80.6,80.4,60.3","59.0,65.1,65.4,71.4,52.0",True,,,
51,2019-06-24-CNI-23Y-01.IGC,ASH 31 MI,"50.1,47.1","73.7,64.5","61.9,52.3","52.4,52.6","84.0,73.3","66.5,64.8",True,,,
52,2015-05-23-CNI-214-02.IGC,Taurus,"50.5,58.8,51.1,49.7,47.1,49.2,50.0,50.8,63.7","59.5,60.2,57.7,63.7,69.5,57.9,64.7,76.6,72.1","52.7,59.7,54.6,56.4,56.6,52.1,57.5,62.1,68.1","45.1,45.1,49.9,46.3,45.3,47.1,53.8,50.4","62.9,63.0,63.0,67.5,64.7,64.7,69.3,72.1","54.3,54.9,56.5,58.1,53.6,56.4,61.2,60.5",True,,,
53,16GGHZY1.IGC,ARCUS M,"45.1,45.2","92.3,82.6","72.4,61.8","45.1,45.2","93.2,86.5","68.6,61.1",True,,,
54,34PLCLO1.IGC,DG-808 C,"45.7,59.6","50.1,61.2","48.1,60.2","45.3,57.6","58.4,78.5","51.3,73.3",True,,,
55,067C4A41.IGC,Antares 20E,"59.7,55.2,56.1,67.3,54.2,63.8,67.5,78.2,59.1,74.9,77.5,58.4,60.6,69.6,73.8,62.9","62.6,69.2,66.3,70.5,62.4,67.7,74.8,80.8,82.0,84.6,85.1,78.6,70.7,78.8,76.9,79.0","60.4,61.5,61.6,68.9,56.9,65.1,72.1,79.9,71.6,80.6,82.8,69.7,64.4,74.6,75.4,74.7","50.7,54.6,58.3,54.2,62.6,56.6,53.8,55.5,55.0,55.4,54.9,54.0,53.4,53.8,63.4","70.1,78.0,75.6,74.3,76.3,73.0,67.1,88.1,81.5,76.3,82.8,68.5,69.4,70.7,94.2","61.6,62.5,69.8,62.3,70.4,66.2,59.5,70.5,63.8,61.8,71.6,60.3,60.5,61.9,77.7",False,,,
56,2016-05-23-NKL-0UM-01.IGC,ASH 31 MI,"54.1,64.9","79.2,77.1","64.8,72.1","47.1,45.7","75.4,76.7","58.5,59.0",True,,,
57,184G8KM1.IGC,DG-400,"45.1,46.8","61.5,85.1","51.0,68.7","45.3,46.3","86.6,84.5","61.2,72.4",True,,,
58,2016-05-26-CNI-214-01.IGC,Taurus,"45.4,47.5,51.3","51.4,53.5,66.6","48.5,49.7,59.6","45.2,45.1,46.1","65.9,70.5,77.9","56.6,60.7,58.1",True,,,
59,2018-06-14-CNI-232-01.IGC,ASH 31 MI,"45.3,48.5","87.7,90.2","63.6,74.4","47.5,46.6","89.8,80.9","71.0,58.4",False,,,
60,2014-04-24-NKL-12X-01.IGC,ARCUS M,"55.6,62.1","77.4,74.4","66.7,66.6","53.8,55.0","82.3,70.2","65.7,62.8",False,,,
61,44LLCS71.IGC,SILENT-IN,"46.0,45.5","50.5,52.4","48.7,48.0","45.0,46.9","53.2,74.7","48.7,59.3",True,,,
62,069C4A41.IGC,Antares 20E,"57.5,66.3,56.9,56.2,56.3,60.0,66.5,70.7,48.9,63.9,48.9","70.4,70.5,67.2,70.0,60.2,73.5,76.1,71.8,61.7,67.4,77.6","63.4,69.8,60.4,63.0,58.2,67.5,73.1,71.2,52.9,65.6,69.2","56.4,53.0,55.5,56.2,58.6,54.9,58.5,49.4,46.5,60.6","80.0,70.1,70.0,76.8,76.8,76.8,75.9,65.2,71.6,69.2","73.2,57.7,60.9,65.3,68.9,65.5,65.6,55.4,64.8,64.8",False,,,
63,2018-06-11-CNI-232-01.IGC,ASH 31 MI,"47.1,63.9,45.1,52.6,53.7","94.8,94.9,85.2,95.0,86.3","78.2,89.8,59.4,74.2,67.4","45.5,57.5,45.5,45.0,46.4","94.8,92.7,90.9,89.7,92.1","74.9,78.3,61.7,68.2,64.4",True,,,
64,2016-05-24-CNI-214-01.IGC,Taurus,"61.7,45.8,65.5,68.0,52.4","79.5,56.3,77.8,80.5,74.5","67.0,49.9,71.2,74.3,61.9","45.1,45.1,45.3,46.6,45.1","68.3,75.3,86.0,88.1,68.7","60.1,62.5,70.9,64.0,52.6",True,,,
65,2015-10-12-CNI-214-01.IGC,Taurus,"61.6,52.4","68.8,61.4","64.4,56.6","45.0,45.1","59.9,60.6","52.6,52.0",False,,,
66,2015-06-02-CNI-21D-01.IGC,DG-808 C,"54.2,54.4,51.4,50.8,48.5,49.7,65.4,73.7,59.1,71.9","84.7,82.6,85.7,78.9,77.6,81.5,76.4,78.8,80.8,82.3","69.3,70.6,67.1,62.0,63.2,62.4,70.9,75.7,75.7,79.2","54.9,49.4,50.3,48.1,48.9,62.9,50.1,50.1,67.6,46.6","77.3,76.4,78.3,80.5,81.5,81.9,80.8,80.8,84.5,84.5","68.5,68.0,61.8,67.2,65.0,71.4,73.8,73.7,78.9,69.9",False,,,
67,2016-05-23-CNI-214-01.IGC,Taurus,"70.5,66.0,54.1","77.4,74.9,65.3","73.6,71.6,59.9","45.4,47.2,45.2","73.8,71.7,72.8","61.8,62.2,59.4",True,,,
68,2016-03-15-CNI-22G-01.IGC,ASH 30 MI,"51.6,53.4,52.7","70.8,68.2,76.7","63.2,60.1,62.9","54.3,47.1,56.2","69.9,68.6,71.2","60.5,62.4,64.8",True,,,
69,2015-03-20-NKL-0VP-01.IGC,Taurus,"59.8,56.1,52.6","68.7,68.9,64.6","64.3,61.4,56.5","45.3,48.8,45.2","57.0,66.5,62.0","51.8,56.0,52.6",False,,,
70,06AC4A41.IGC,Antares 20E,"53.6,50.0,66.8,64.2,59.6,63.1,45.4,49.4,70.4,52.8,83.6,67.8,79.0,60.8,45.7","73.2,73.0,70.1,69.6,70.0,68.9,88.9,72.9,74.6,65.7,91.6,72.9,81.2,61.4,94.6","63.0,57.3,67.9,67.3,66.5,66.6,64.9,56.1,72.8,58.7,88.0,70.6,80.1,61.0,71.9","48.8,47.5,49.8,53.3,54.0,54.3,45.4,70.1,48.7,54.7,46.2,45.2,46.0,54.0,54.0,46.8","63.7,72.8,70.7,66.8,77.5,69.6,93.7,88.4,90.4,94.9,95.0,91.9,94.2,90.0,90.0,52.3","55.4,60.9,59.3,59.3,63.9,61.1,72.3,74.1,69.0,65.9,73.0,72.8,71.1,68.0,74.3,48.9",True,,,
71,2024-06-25-CNI-27D-01.IGC,ASH 31 MI,"45.5,45.3","94.4,53.1","79.3,47.9","45.1,47.4","94.8,94.7","75.5,64.1",True,,,
72,2021-06-14-CNI-28F-01.IGC,ASG 32 MI,"46.4,47.7,46.3","82.4,80.4,79.9","66.7,59.5,64.0","45.5,51.5,51.5","81.9,89.6,89.7","63.6,70.3,76.4",True,,,
73,2021-06-13-CNI-28F-02.IGC,ASG 32 MI,"45.2,51.7","94.5,86.2","65.0,60.4","50.5,50.2","94.7,80.8","74.7,64.8",True,,,
74,2017-03-10-LXV-1OL-01.IGC,DG-808 C,"49.4,45.2","65.4,83.6","56.5,70.6","45.6,45.2","64.0,58.9","55.3,52.2",True,,,
75,2017-08-03-CNI-255-01.IGC,VENTUS 2CXM,"59.7,62.0,53.1","87.3,74.9,77.6","77.8,67.1,66.6","61.1,45.9,54.0","78.3,66.1,85.2","69.3,52.6,66.9",True,,,
76,2016-03-12-CNI-22G-01.IGC,ASH 30 MI,"48.2,46.1","80.4,77.9","60.0,58.0","45.2,54.2","80.8,76.6","61.2,64.9",False,,,
77,2021-06-16-CNI-28F-01.IGC,ASG 32 MI,"51.8,66.5","77.0,82.9","63.5,75.4","51.6,70.8","87.7,93.8","72.6,78.7",True,,,
78,2018-05-15-LXV-7H2-01.IGC,ARCUS M,"45.3,45.0","50.4,59.3","46.5,52.6","45.2,46.4","62.7,86.6","56.5,65.9",False,"38.27,38.43","77.99,71.47","60.41,56.79"
79,2015-10-14-CNI-214-01.IGC,Taurus,"45.2,45.0,58.9,45.2,52.2,60.4","54.2,55.8,77.9,57.6,59.8,70.9","47.4,47.0,64.0,52.9,56.7,64.4","45.5,46.0,48.1,45.5,45.0,48.2","72.3,64.8,64.3,71.9,69.1,76.8","57.1,54.5,56.3,59.3,59.7,66.4",False,,,
80,04MC4A41.IGC,Antares 20E,"74.7,56.5,71.9,45.8","80.5,77.4,74.6,81.7","77.6,64.2,73.4,63.8","55.0,54.8,50.5","76.3,78.5,75.8","64.8,69.8,64.8",False,,,
81,2018-07-03-LXV-3IL-01.IGC,DG-808 C,"51.7,73.2","63.5,88.9","56.0,79.8","45.4,70.4","61.2,92.4","53.8,82.1",True,,,
82,2021-08-07-CNI-23Y-01.IGC,ASH 31 MI,"45.3,46.1","66.6,60.2","56.3,54.7","45.9,45.9","71.8,51.6","57.4,48.9",False,,,
83,2017-05-26-LXV-PHZ-01.IGC,DG-400,"45.2,45.3","79.5,64.6","56.7,52.6","45.4,47.1","84.8,95.0","72.7,80.5",False,"44.48,45.99","87.52,77.23","65.85,56.07"
