,File,Model,All_Min_TAS_knots,All_Max_TAS_knots,All_Avg_TAS_knots,All_Post_Run_Min_TAS_knots,All_Post_Run_Max_TAS_knots,All_Post_Run_Avg_TAS_knots,Circling_Segment_Found,Min_Speed_While_Engine_Running_knots,Max_Speed_While_Engine_Running_knots,Avg_Speed_While_Engine_Running_knots
84,2013-07-29-NKL-12K-01.IGC,DG-808 C,"45.7,46.8","90.5,54.5","78.4,49.8","46.2,47.0","94.9,79.5","75.9,60.5",True,,,
85,23DV7EO1.igc,ASH 31 MI,"50.4,50.8","78.8,82.9","69.1,68.8","45.3,45.6","86.2,89.9","68.5,69.2",True,"61.31,45.46","81.80,83.86","68.91,68.85"
86,13CC4A41.igc,Antares 20E,"57.2,65.2,68.8,59.3,60.0,56.6,62.2,61.4,70.9,70.9,55.9,60.6","72.0,71.4,71.6,67.8,66.6,77.9,66.2,74.8,73.3,73.5,59.6,84.8","66.0,68.0,70.0,63.7,63.8,65.3,64.7,71.4,72.0,71.6,58.4,72.9","53.7,50.8,55.1,54.6,52.0,50.2,64.9,51.6,69.3,61.8,55.8","83.2,68.2,71.4,72.1,76.9,79.7,81.3,72.6,77.1,77.4,84.8","66.5,59.8,61.5,65.7,64.2,61.8,74.6,61.2,73.4,71.8,68.1",True,,,
87,13EC4A41.igc,Antares 20E,"56.1,65.0,57.2,59.6,63.4,62.5,69.1,64.7,68.3,76.5,76.7,60.6,75.8,67.1","64.3,72.3,64.0,65.7,67.8,66.5,71.0,69.8,69.2,78.8,83.3,79.5,78.5,74.6","61.3,68.4,61.3,62.4,64.7,63.8,70.3,67.5,68.6,77.6,79.1,75.0,76.9,71.7","55.0,53.5,58.1,56.6,56.4,54.0,56.6,56.6,54.3,55.4,54.5,60.6,58.4","72.3,64.2,74.4,74.4,79.3,73.5,72.2,73.7,73.7,83.3,79.5,89.6,74.0","63.0,58.7,63.9,65.6,66.5,62.9,67.3,65.6,61.8,69.6,64.8,75.4,65.1",False,,,
88,177VAAW1.igc,VENTUS 3M,"57.5,63.3,60.4","73.4,80.1,81.8","64.2,71.2,70.0","53.3,53.8,56.4","85.3,82.6,85.3","67.2,65.9,67.0",True,"44.64,62.81,65.35","71.65,81.07,80.38","66.58,71.01,72.67"
89,13DVAAW2.igc,VENTUS 3M,"45.2,72.0,71.8","70.3,81.5,85.9","54.1,76.4,76.8","45.2,67.7,45.9","77.7,90.1,92.3","59.9,80.5,72.3",True,"45.75,41.80,57.96","64.84,69.73,76.09","58.82,60.17,65.51"
90,466V7SK1.igc,EB29,"45.1,46.6","94.8,94.3","81.0,66.8","45.2,45.2","94.8,94.8","71.9,73.7",True,"39.98,56.55","66.44,66.31","58.70,61.99"
91,13DV81T1.igc,SILENT 2 ELECTRO,"45.3,45.4","45.7,49.0","45.5,47.3","45.4,45.3","49.0,61.9","47.1,52.9",True,"41.35,44.15","55.12,56.74","48.61,50.72"
92,16KVABZ1KW.igc,ASG 32 MI,"50.1,63.1","67.7,86.8","58.0,69.4","51.4,52.1","75.5,83.4","65.1,68.7",True,"65.26,52.39","84.03,81.48","78.46,73.96"
93,99LV83E1.igc,LAK-17B FES MINI,"45.3,50.7","82.5,67.6","65.4,58.1","45.3,49.3","76.8,71.1","64.6,59.7",True,"43.23,47.59","52.98,58.41","48.43,54.05"
94,18GVAA21.igc,ASG 32 MI,"48.1,65.8","58.0,69.7","52.8,67.8","51.1,48.5","69.7,73.7","63.4,62.0",True,"63.97,53.42","82.51,71.71","77.63,61.08"
95,54LV1OL1.igc,DG-808 C,"45.1,72.2","57.0,94.9","49.3,78.4","45.1,66.8","78.9,94.7","61.1,83.9",True,,,
96,63CV7RZ1.igc,ARCUS M,"45.1,48.2","48.2,91.8","46.8,84.5","45.4,45.1","91.8,86.3","77.9,69.6",True,"43.27,53.32","69.79,64.56","58.72,59.17"
97,2024-06-01-LXV-4RD-01.igc,ARCUS M,"45.0,55.2","83.9,79.4","70.2,69.6","46.4,46.7","82.6,93.6","67.2,67.6",True,,,
98,46PVAAW1.igc,VENTUS 3M,"48.4,45.2","81.7,52.7","68.5,48.4","52.6,46.3","93.3,85.2","68.8,73.8",True,"44.07,43.72","75.36,77.84","66.66,67.43"
99,23DV7CD1.igc,ASH 26 E,"45.2,45.6","83.0,61.2","67.3,52.9","45.1,46.9","80.5,84.2","67.1,62.0",True,"40.79,47.34","81.04,79.42","64.58,63.54"
100,13HC4A41.igc,Antares 20E,"65.2,55.3,55.9,71.8,69.8,68.6,76.4,68.6,78.8,69.9,68.9,62.7","73.7,66.4,65.2,73.4,82.9,75.5,81.8,70.4,82.3,73.4,72.1,75.5","69.2,60.6,61.7,72.5,79.7,70.9,78.0,69.5,80.1,71.1,69.8,68.7","56.5,55.0,59.5,56.0,66.8,56.5,66.1,57.4,54.6,66.3,58.8","82.2,70.1,72.2,68.5,75.5,74.7,81.4,82.3,81.5,75.5,75.5","68.4,62.1,64.2,62.4,70.9,66.7,75.0,69.6,69.8,71.5,68.6",False,,,
101,04JC4A41.igc,Antares 20E,"68.6,62.9,57.2,65.5,66.2","69.4,69.8,67.1,70.0,71.0","69.0,66.1,61.6,67.3,68.5","56.4,61.9,61.1,57.7","69.5,81.2,72.7,73.5","59.4,68.1,67.5,66.6",False,,,
102,16CVAHZ1 - 43.igc,Twinshark,"45.6,47.1","94.7,74.6","73.1,55.1","45.2,45.0","90.4,94.3","67.2,70.8",True,"49.90,58.01","89.05,84.96","75.69,70.41"
103,18FVACN1.igc,ASH 31 MI,"45.1,47.0","84.1,77.8","72.2,66.0","45.6,45.7","81.0,94.0","69.1,76.0",True,"54.70,55.37","84.09,84.49","72.72,64.95"
104,03DVAAW2.igc,VENTUS 3M,"45.1,70.0,45.0","74.5,84.7,77.0","56.3,77.0,60.2","45.0,45.4,45.8","89.9,91.0,94.5","72.4,63.3,67.7",True,"39.63,56.10,54.27","63.91,72.93,67.20","57.31,63.49,61.00"
105,16GV7VE1.igc,ASH 31 MI,"49.5,50.2","94.6,94.8","84.1,76.3","48.3,45.2","91.1,94.2","81.4,76.8",True,"58.12,50.51","83.61,85.46","71.44,68.36"
106,173VACN1.igc,ASH 31 MI,"50.4,48.7","75.4,93.9","62.7,74.7","45.4,46.5","94.3,94.5","73.2,69.2",True,"55.85,61.85","82.24,89.17","69.69,72.48"
107,16FVAHZ1.igc,Twinshark,"54.1,56.3","77.0,93.2","63.3,78.5","45.7,59.3","76.8,94.8","59.3,74.8",True,"45.77,48.79","86.59,90.72","75.57,80.77"
108,187VAEQ1.igc,ASH 31 MI,"46.5,56.1","80.0,61.4","65.4,57.9","45.0,45.4","73.4,70.8","58.0,56.3",False,"55.24,55.59","80.28,74.44","63.39,64.61"
109,171VACN1.igc,ASH 31 MI,"52.1,61.4","66.4,68.0","59.7,65.7","58.4,56.5","74.1,74.7","64.1,67.4",True,"52.32,56.98","84.77,77.72","74.21,65.69"
110,184VAEQ1.igc,ASH 31 MI,"45.0,48.6,45.1","80.9,62.8,75.3","57.7,60.1,59.6","47.1,45.5,45.0","87.4,84.0,76.1","72.5,65.7,60.9",True,"58.96,43.54,41.64","78.15,78.21,73.23","67.94,63.79,59.50"
111,38OV7SK1.igc,EB29,"45.2,53.1","73.5,74.4","58.6,62.3","45.2,45.2","74.7,81.9","61.6,63.6",True,"38.42,55.90","59.89,64.44","52.46,60.10"
112,15VV7VE1.igc,ASH 31 MI,"57.5,74.5","72.2,75.9","64.6,75.4","50.6,47.7","75.9,70.3","65.8,58.4",False,"60.04,63.66","85.53,78.66","74.47,70.88"
113,18FVAA22.igc,ASG 32 MI,"58.2,61.4","63.5,65.0","61.2,63.4","57.4,57.4","67.1,67.1","62.3,62.5",True,"67.42,58.89","84.21,81.18","76.45,69.73"
114,43JVAP12.igc,Twinshark,"65.5,45.3","76.4,48.1","70.1,47.0","62.1,48.0","94.5,85.0","76.2,74.8",True,"41.43,47.80","85.71,86.02","78.69,78.44"
115,13FC4A41.igc,Antares 20E,"66.1,79.1,54.1,74.9,70.4,65.6","77.7,80.2,64.1,78.4,72.2,73.0","69.9,79.6,59.1,76.8,71.5,69.4","59.1,53.6,53.6,66.4,52.9","83.4,78.3,78.4,86.8,80.5","72.5,65.3,67.2,74.3,66.2",True,,,
116,839V7H21.igc,ARCUS M,"45.1,45.4","86.2,47.6","66.5,46.8","45.0,47.5","71.3,58.8","53.4,51.5",True,"42.49,42.06","83.53,84.00","66.19,62.88"
117,1A2V7GT1.igc,ASH 26 E,"45.7,45.7,53.0","67.3,65.8,62.0","56.3,59.3,55.4","45.0,45.7,51.1","74.8,70.0,72.4","60.5,60.0,67.0",True,"42.04,51.30,52.63","65.79,60.82,60.83","56.84,56.32,56.17"
118,361V6WG1.igc,ASH 31 MI,"51.3,59.1","67.0,76.6","61.6,66.3","57.3,54.4","76.6,81.3","64.2,63.7",True,"0.00,51.33","64.96,71.32","52.16,60.89"
119,43JVABC1.igc,ARCUS M,"45.0,69.9","92.8,81.1","72.5,75.6","45.0,63.5","94.8,95.0","74.6,85.9",True,"49.61,55.15","72.95,64.66","58.76,59.62"
120,13CVAAW1.igc,VENTUS 3M,"48.5,59.8","66.2,72.0","57.3,63.4","46.8,58.8","93.3,94.3","64.2,73.1",True,"44.66,38.25","67.75,70.58","60.62,62.56"
121,16LVAHZ143.igc,Twinshark,"49.7,56.5","92.9,84.5","64.6,62.8","45.1,46.4","83.9,93.9","65.3,75.0",True,"61.99,63.75","87.68,91.15","78.63,81.08"
122,04KC4A41.igc,Antares 20E,"85.7,45.3,45.1,51.3","89.4,94.3,46.9,92.4","87.7,55.6,46.2,62.5","48.1,45.8,46.6,45.4,47.8,54.5","92.2,94.3,93.9,94.1,92.4,54.5","70.9,59.3,61.0,61.5,57.3,54.5",True,,,
123,2022-03-17-NAV-8RQ-01.igc,VENTUS 2CM,"65.6,45.4","73.3,60.9","69.1,55.5","52.6,45.2","84.3,54.3","73.8,50.2",True,,,
124,16IVABZ1.igc,ASG 32 MI,"45.2,51.9,74.7,82.5","79.7,77.0,83.1,93.0","61.7,62.1,79.3,88.1","46.0,59.1,71.5,45.6","77.0,74.1,91.4,91.4","61.6,66.2,79.9,71.7",True,"63.93,58.35,69.94,47.62","87.05,74.85,76.72,72.59","76.16,68.72,74.01,66.57"
125,172VACN1.igc,ASH 31 MI,"66.3,48.9","83.4,83.7","73.5,66.1","48.1,49.2","84.1,92.7","64.8,69.4",True,"59.56,61.26","87.35,85.59","70.19,70.23"
126,18LVAA21.igc,ASG 32 MI,"45.4,56.2","47.1,74.4","46.1,68.8","45.0,45.2","76.6,80.6","65.7,62.9",True,"68.42,53.17","82.67,70.44","77.22,59.06"
127,38EV7SK1.igc,EB29,"45.0,46.1,47.3","54.1,89.5,94.0","49.5,76.0,72.1","46.1,45.6,45.0","89.5,94.0,93.1","74.1,69.4,69.6",True,"0.00,43.26,45.89","51.25,67.69,74.78","40.75,55.05,54.42"
128,13DC4A41.igc,Antares 20E,"53.4,62.3,55.5,57.1,56.1,68.8,53.3,57.2,57.8,62.4,59.0,52.8,80.0,81.3,73.6","69.3,65.0,73.6,68.3,77.0,81.2,69.2,68.1,62.7,68.7,82.8,82.3,84.7,85.3,81.9","62.4,63.6,65.1,62.6,65.5,73.5,59.8,63.7,60.2,66.8,75.0,66.4,82.6,82.7,78.4","52.6,52.9,53.9,53.5,53.3,53.3,54.5,54.6,54.5,51.5,52.4,73.7,75.8,50.4,48.2","78.0,71.5,71.1,72.7,81.2,80.0,80.0,74.2,68.1,66.0,74.7,85.6,86.4,94.4,59.4","62.4,61.1,61.9,63.1,69.1,66.5,66.1,66.6,60.9,59.1,63.0,82.4,81.5,73.8,54.9",True,,,
129,13IC4A41.igc,Antares 20E,"63.3,53.7,50.2,49.0,49.5,52.6,47.9,47.5,58.3,58.5,58.7,52.1,54.5","85.8,94.8,93.6,89.3,93.4,90.0,53.3,72.1,66.3,62.5,61.4,57.6,83.6","74.5,77.0,72.7,70.7,79.2,67.3,51.2,58.1,60.8,59.6,60.0,54.5,69.5","45.5,45.5,47.2,46.5,46.8,45.6,45.7,45.7,46.7,47.8,47.7,47.7,51.2,45.4,57.1","94.8,94.5,94.9,93.4,94.2,94.7,94.1,94.8,90.5,93.5,88.4,88.4,65.0,60.7,57.1","71.7,73.5,75.6,69.3,73.5,70.7,70.9,72.9,70.1,66.4,61.4,61.5,57.5,52.6,57.1",True,,,
130,18JVAA22.igc,ASG 32 MI,"45.3,47.0","54.0,75.1","49.4,61.2","45.7,45.5","73.8,80.7","60.1,65.1",True,"67.25,54.35","84.32,81.16","79.36,63.64"
131,14KVAGO2.igc,ASH 31 MI,"45.8,65.3","73.2,77.2","59.0,70.8","45.0,45.3","86.3,72.5","60.2,58.1",True,"49.51,51.30","84.10,88.83","72.73,70.08"
132,2024-06-07-NAV-180804-01.igc,VENTUS 2CM,"61.9,54.9","76.6,67.8","68.8,60.0","50.8,48.4","91.2,88.1","73.1,73.9",True,,,
133,43KVAP11.igc,Twinshark,"55.0,52.6","66.5,62.5","59.0,56.3","47.5,50.3","77.2,93.5","62.8,72.0",True,"36.51,47.37","83.10,82.59","75.17,75.80"
134,178VACN1.igc,ASH 31 MI,"45.5,45.1","46.8,72.3","46.0,56.9","45.1,45.5","94.6,94.6","63.3,71.3",True,"61.62,58.32","84.85,78.14","72.69,67.72"
135,46HV6WG1.igc,ASH 31 MI,"46.5,45.0","83.1,93.4","61.2,50.9","47.0,46.1","81.2,85.3","64.3,63.9",False,"37.96,53.03","67.58,79.52","54.87,66.45"
136,18HVACN1.igc,ASH 31 MI,"45.6,45.7","52.3,59.2","49.3,49.4","45.7,45.7","61.7,77.9","50.3,57.7",True,"59.56,56.52","76.82,77.47","66.32,65.50"
137,174VAAW1.igc,VENTUS 3M,"45.1,82.7","94.7,94.8","70.6,89.3","45.6,46.4","95.0,94.7","70.3,83.2",True,"43.36,64.11","76.22,82.34","67.06,69.87"
138,13JC4A41.igc,Antares 20E,"67.8,71.9,73.8,71.0,71.7","76.3,75.8,78.0,74.8,78.8","70.1,73.9,75.9,72.6,77.1","54.7,59.4,68.3,53.0,53.0","75.5,74.8,77.1,78.8,73.7","63.4,63.6,73.0,72.8,64.4",False,,,
139,54NV1OL1.igc,DG-808 C,"45.0,45.0","74.8,48.4","63.0,46.0","45.0,45.2","79.2,94.7","64.1,59.0",True,,,
140,35RV8I72.igc,ASH 31 MI,"50.7,93.3,65.5","92.4,94.7,91.8","69.8,94.0,84.0","45.5,45.5,45.5","94.7,91.8,89.2","79.6,75.1,68.7",True,"61.17,65.67,52.28","90.24,79.37,88.90","72.56,71.63,68.38"
141,16TVACN1.igc,ASH 31 MI,"60.5,45.5","81.9,90.9","73.3,64.5","45.1,45.9","90.9,88.0","72.4,72.7",True,"54.11,58.37","87.01,82.34","69.79,66.28"
142,4536-9239003631.igc,VENTUS 3M,"47.2,51.1","79.5,60.0","53.8,54.8","47.5,45.3","76.4,84.0","66.6,71.7",True,"49.17,50.31","64.41,64.00","58.61,61.54"
143,4536-9240051958.igc,ARCUS M,"45.2,52.0","78.3,91.4","54.4,63.0","45.7,52.0","86.1,87.7","63.0,68.3",True,"35.55,47.34","64.03,69.90","57.34,58.20"
144,4536-9240051960.igc,ARCUS M,"45.2,57.7,51.8,76.9,76.9,73.6","83.7,84.8,87.5,93.5,89.1,92.3","63.8,75.6,73.2,82.3,83.2,78.5","45.1,45.1,51.6,72.6,70.4,45.4","93.0,94.1,94.3,94.2,94.5,92.0","68.4,75.3,68.3,86.9,85.0,74.1",True,"39.09,56.79,59.35,60.20,62.10,57.15","65.13,69.70,74.01,73.96,69.03,72.25","58.31,62.48,66.24,65.38,65.65,61.17"
145,4536-9241100569.igc,EB29R,"59.6,55.1,55.1","79.4,87.6,69.4","67.7,66.8,60.8","45.1,51.5,47.5","87.1,72.9,73.2","65.1,63.9,60.9",True,"39.86,55.18,60.04","61.63,74.39,74.65","56.56,61.07,65.83"
146,4536-9240051966.igc,ASG 32 MI,"51.0,54.8,74.1","67.3,71.6,80.2","55.4,60.0,76.1","47.8,61.6,67.2","79.9,75.8,90.9","65.3,72.8,81.8",True,"40.79,44.77,36.69","75.72,75.57,68.12","69.65,67.45,60.58"
147,4536-9241100336.igc,ASH30 NIXUS,"55.2,56.4","66.2,62.2","60.6,58.7","51.4,51.4","70.5,70.5","59.0,60.4",True,"46.64,42.59","85.04,56.83","72.14,50.14"
148,4536-9241100540.igc,ASH30 NIXUS,"51.3,45.8","88.6,88.6","63.5,72.4","45.8,45.8","94.9,94.9","73.0,73.7",True,"62.07,49.21","82.70,73.89","76.00,54.96"
149,4536-9241100576.igc,EB29R,"51.2,61.8","72.2,77.3","57.6,68.6","46.4,57.5","75.1,91.7","61.0,81.6",False,"44.33,49.24","65.36,65.76","58.67,60.16"
150,4536-9240051956.igc,ARCUS M,"78.3,79.0","91.5,88.4","83.2,82.7","46.6,81.1","94.8,93.1","77.7,90.1",True,"48.69,52.98","66.24,59.45","57.42,56.28"
151,4536-9240051728.igc,ARCUS M,47.2,66.5,54.4,"46.9,46.4","76.1,94.3","60.7,68.0",True,,,
152,4536-9241100557.igc,ASH30 NIXUS,"45.5,64.4","72.8,78.9","57.8,72.0","45.6,69.0","86.5,78.8","67.1,75.3",True,"41.37,43.93","80.90,78.53","69.24,67.57"
153,4536-9241100489.igc,ASH30 NIXUS,"45.0,48.8","77.1,77.1","54.5,64.8","45.2,50.2","77.1,86.2","61.5,66.2",True,"45.89,43.66","81.75,83.01","65.66,61.27"
154,4536-9240051954.igc,ARCUS M,"62.9,80.6","95.0,92.5","77.8,87.9","45.1,79.7","93.0,94.4","75.3,88.6",True,"53.77,53.92","71.26,61.99","61.92,58.37"
155,4536-9240051962.igc,ARCUS M,"51.2,50.9,47.3,45.5,45.3","71.7,94.5,52.7,55.1,69.1","64.8,63.0,49.7,50.5,55.8","45.5,45.1,48.9,45.1,45.1,45.8","70.7,94.5,64.8,70.3,73.4,90.5","58.3,68.4,56.7,58.7,60.5,53.8",True,"0.00,51.19,54.12,46.64,47.32,54.55","63.50,70.44,67.71,61.33,59.88,62.20","56.89,57.70,60.58,54.59,54.72,59.44"
156,4536-9240051967.igc,ARCUS M,"56.9,65.3,46.9","74.3,84.5,46.9","64.9,77.5,46.9","46.5,59.5,46.6","75.6,94.0,75.2","60.1,75.7,63.4",True,"41.94,58.91,58.28","66.68,67.73,74.99","60.77,62.30,62.83"
157,4536-9240051965.igc,ARCUS M,"62.2,52.7,60.6,45.4,45.4,47.9","76.1,93.9,85.2,62.9,94.8,48.0","67.1,71.3,69.7,54.1,52.2,48.0","45.3,58.7,60.2,45.6,45.4,45.2","86.8,89.2,94.9,94.8,94.5,62.6","62.8,75.5,76.0,70.1,75.8,52.4",True,"43.43,39.67,44.16,38.16,42.52,44.96","83.77,67.19,76.39,72.83,76.21,72.38","64.95,61.81,62.19,60.16,65.17,63.84"
158,4536-9240051968.igc,ARCUS M,"45.7,55.2,68.2","64.9,81.9,78.8","51.7,68.1,71.7","53.2,64.3,48.6","80.2,91.8,94.6","66.1,82.0,77.0",True,"53.75,40.13,48.06","82.92,73.27,82.34","60.07,60.99,59.71"
159,4536-9241100573.igc,EB29R,"48.8,72.8","85.4,89.9","63.4,77.7","45.2,70.1","88.9,94.9","66.4,84.0",True,"48.52,52.08","65.89,61.53","60.68,56.65"
160,4536-9241100566.igc,EB29R,"45.6,47.9","76.7,71.1","58.4,54.1","45.0,47.3","89.3,93.2","70.6,73.4",True,"0.00,48.77","64.08,68.06","55.42,58.83"
